Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin-sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin-tazobactam,gentamicin,Smipenem,meropenem,amikacin,cefepime,trimethoprim-sulfamethoxazole,ampicillin,amoxicillin-clavulanic acid,ertapenem,cefotaxime,tigecycline,fosfomycin,norfloxacin,ticarcillin-clavulanic acid,trimethoprim,colistin
470.7535,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7527,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8069,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7821,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7416,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.8048,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7942,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7552,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7646,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7616,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7956,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7802,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8055,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7548,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8107,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7981,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7622,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8001,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7878,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7582,PTX,S,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.8093,PTX,S,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.755,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7647,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7888,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7471,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7926,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7645,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7961,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7699,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7931,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7526,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.8076,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7581,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7765,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7673,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7917,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8038,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8077,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7496,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7851,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7609,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7669,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7996,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7488,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7525,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7428,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7841,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7801,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.745,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7685,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7938,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8002,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7964,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8011,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7654,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7702,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7803,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7825,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8032,PTX,S,,,R,,,,,R,,,S,S,,S,,,,,,,,,,,,
470.7636,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7674,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7451,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.756,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7494,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7772,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7935,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7989,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7994,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7571,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7458,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7664,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7686,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7907,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8006,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7947,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7679,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.8045,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7766,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7531,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7682,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7978,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7708,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.763,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7447,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8103,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7629,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7874,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7997,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7492,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7452,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7586,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7746,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7468,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7568,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7924,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7713,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7661,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7557,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.8095,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7668,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7914,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7427,PTX,S,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7442,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7763,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.767,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8014,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7835,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8091,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7916,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7522,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7692,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7969,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7546,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.8068,PTX,R,,,S,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7712,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7649,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7925,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7544,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8105,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7897,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7725,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7905,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7465,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7701,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8046,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7537,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8039,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7604,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8013,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7727,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7972,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7607,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7864,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7992,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7735,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7658,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7562,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7894,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8079,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7758,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7853,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7567,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7545,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7655,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8009,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7593,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7885,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7985,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7683,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7648,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7814,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.757,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8016,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7865,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7704,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8078,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7705,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7998,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7974,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8097,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.8034,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7602,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.748,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7706,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7893,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8057,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7448,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7873,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7741,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7892,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7785,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8043,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7597,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7642,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8104,PTX,S,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7446,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7842,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8052,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7628,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7707,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8108,PTX,S,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7532,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7565,PTX,S,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7722,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7943,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7601,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7475,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7561,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7967,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7929,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7754,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7913,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7939,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.8021,PTX,S,,,R,,,,,R,,,S,S,,S,,,,,,,,,,,,
470.762,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7626,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8019,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7714,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7631,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.758,PTX,S,,,R,,,,,R,,,R,R,,S,,,,,,,,,,,,
470.7973,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7621,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7753,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7612,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7759,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7844,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7749,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.773,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7912,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7904,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7941,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7734,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7429,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7739,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7796,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7633,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.8073,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7906,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7787,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7921,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7495,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7476,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7995,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7999,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8003,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7524,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7908,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7881,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7477,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7993,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7937,PTX,S,,,R,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7596,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7583,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7592,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.8066,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7605,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.8023,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7731,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8058,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8063,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7554,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7444,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7694,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7909,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7959,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.774,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7804,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7573,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7665,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7426,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7736,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7585,PTX,S,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7752,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8029,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8051,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.23142,PTX,,,,S,,,,,,,,S,R,S,R,,R,,,,,,,,,,
470.7717,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7927,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.747,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.8026,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7764,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7767,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8056,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.7553,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7457,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7783,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7517,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7434,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7899,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7951,PTX,R,,,R,,,,,S,,,R,S,,R,,,,,,,,,,,,
470.8025,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7598,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7566,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.8062,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7983,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7676,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7433,PTX,S,,,S,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7963,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7838,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7986,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.754,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7697,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7625,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7659,PTX,S,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.775,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7563,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7487,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.764,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7919,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7756,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8053,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7651,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7934,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.8083,PTX,R,,,R,,,,,R,,,R,R,,R,,,,,,,,,,,,
470.7703,PTX,R,,,R,,,,,S,,,R,S,,S,,,,,,,,,,,,
470.7523,PTX,S,,,R,,,,,S,,,S,S,,S,,,,,,,,,,,,
470.7729,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7732,PTX,R,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7611,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7971,PTX,S,,,R,,,,,R,,,R,S,,S,,,,,,,,,,,,
470.7812,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7481,PTX,R,,,R,,,,,R,,,R,S,,R,,,,,,,,,,,,
470.7528,PTX,R,,,S,,,,,S,,,R,S,,S,,,,,,,,,,,,
