Sample_ID_IfH,Organism_Code,amikacin,amoxicillin-clavulanic acid,ampicillin,ampicillin-sulbactam,aztreonam,cefazolin,cefepime,cefotaxime,ceftazidime,ceftriaxone,cefuroxime,ciprofloxacin,colistin,ertapenem,fosfomycin,gentamicin,levofloxacin,meropenem,nitrofurantoin,norfloxacin,piperacillin-tazobactam,ticarcillin-clavulanic acid,tigecycline,tobramycin,trimethoprim-sulfamethoxazole
470.7778,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8065,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7936,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7793,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7511,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7786,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.1551,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7493,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7499,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7866,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7871,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7784,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7506,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7918,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7443,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7845,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.8071,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7534,PTX,,,,,,,,,,,,R,,,,S,,,,,,,,S,
470.8041,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.1556,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7467,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7788,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7965,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.766,PTX,,,,,,,,,,,,S,,,,R,S,,,,,,,R,
470.7516,PTX,,,,,,,,,,,,R,,,,S,,,,,,,,S,
470.7933,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.743,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7509,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.7833,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7762,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7485,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7831,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7464,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7811,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7761,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7512,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.7829,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.1554,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7688,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8047,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.1552,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.1553,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.8008,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7869,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7808,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7463,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.1562,PTX,R,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.8085,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7632,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7982,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7484,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.8007,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7757,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.768,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7819,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7818,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7798,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7843,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7555,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7805,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7538,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7643,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.1559,PTX,,,,,,,,,,,,S,,,,R,S,,,,,,,R,
470.7867,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7666,PTX,,,,,,,,,,,,S,,,,R,S,,,,,,,R,
470.7574,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,R,
470.7421,PTX,,,,,,,,,,,,,,,,S,R,,,,,,,S,
470.7861,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7781,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7745,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8086,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7507,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7748,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7768,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.1557,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7743,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7718,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7514,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7473,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7549,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7637,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8084,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.1558,PTX,,,,,,,,,,,,S,,,,R,,,,,,,,R,
470.7419,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7813,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.1561,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7782,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7691,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7901,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.751,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.1359,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7975,PTX,,,,,,,,,,,,S,,,,S,S,,,,,,,S,
470.7424,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7439,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7807,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7709,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8017,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7502,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7836,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7418,PTX,,,,,,,,,,,,,,,,S,R,,,,,,,S,
470.7603,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7856,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8082,PTX,R,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7422,PTX,,,,,,,,,,,,,,,,S,S,,,,,,,S,
470.7505,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7779,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7617,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7797,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7809,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8087,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7984,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7576,PTX,,,,,,,,,,,,S,,,,S,S,,,,,,,S,
470.7979,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7817,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7832,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7551,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.742,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7435,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7862,PTX,,,,,,,,,,,,R,,,,R,S,,,,,,,S,
470.7769,PTX,,,,,,,,,,,,S,,,,S,S,,,,,,,S,
470.7589,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.1564,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7577,PTX,,,,,,,,,,,,S,,,,S,S,,,,,,,S,
470.7883,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7751,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7542,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.7508,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.7799,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7744,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7816,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.746,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7875,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7962,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7466,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7634,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7946,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.753,PTX,,,,,,,,,,,,S,,,,R,,,,,,,,R,
470.7533,PTX,,,,,,,,,,,,S,,,,S,,,,,,,,S,
470.7837,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8059,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.1549,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7575,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,R,
470.7415,PTX,,,,,,,,,,,,,,,,S,R,,,,,,,R,
470.7839,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7425,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7417,PTX,,,,,,,,,,,,,,,,S,S,,,,,,,S,
470.7644,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7462,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,S,
470.7884,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7539,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,R,
470.7436,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7469,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7792,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7854,PTX,,,,,,,,,,,,S,,,,S,S,,,,,,,S,
470.7675,PTX,,,,,,,,,,,,S,,,,R,S,,,,,,,S,
470.772,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8092,PTX,R,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7834,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7991,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7653,PTX,,,,,,,,,,,,R,,,,S,R,,,,,,,S,
470.7579,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7806,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7441,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7857,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7689,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7728,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.8081,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7504,PTX,,,,,,,,,,,,R,,,,R,,,,,,,,S,
470.7852,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7726,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
470.7453,PTX,,,,,,,,,,,,,,,,R,S,,,,,,,S,
470.8072,PTX,R,,,,,,,,,,,R,,,,R,R,,,,,,,R,
470.7459,PTX,,,,,,,,,,,,,,,,R,R,,,,,,,R,
470.7693,PTX,,,,,,,,,,,,R,,,,R,R,,,,,,,S,
