Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefoxitin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin/sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin/tazobactam,tetracycline,gentamicin,imipenem,meropenem,amikacin,cefepime,trimethoprim/sulfamethoxazole,ampicillin,amoxicillin/clavulanic acid,ertapenem,chloramphenicol,polymyxin B,cefotaxime,tigecycline,fosfomycin,cephalexin,norfloxacin,ticarcillin/clavulanic acid,trimethoprim,colistin
573.13768,EKP,<=2,>64,<=4,>16,>2,>16,8,>16/8,>32,2,16,4/4,<=2,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13086,EKP,8,,<=4,>16,>2,>16,16,>16/8,>32,>4,>16,16/4,>8,<=2,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13697,EKP,>8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13056,EKP,<=2,>64,>16,>16,>2,>16,2,>16/8,>32,>4,4,32/4,>8,>8,<=1,<=1,<=8,4,<=0.5/9,>16,,,,,,,,,,,,
573.13728,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13796,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13848,EKP,>8,>64,<=4,>16,>2,>16,>16,>16/8,>32,<=1,>16,64/4,<=2,<=2,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.14223,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,32,8,>2/38,>16,,,,,,,,,,,,
573.14494,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13085,EKP,>8,>64,8,>16,>2,>16,>16,16/8,32,>4,>16,8/4,4,4,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.13473,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,4,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13296,EKP,8,,8,16,>2,>16,16,8/4,<=2,4,>16,8/4,8,8,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.12918,EKP,8,,8,,>2,>32,16,>16/8,>32,>4,16,16/4,4,1,0.5,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.13475,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13946,EKP,>8,<=16,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13723,EKP,<=2,,8,>16,>2,>16,>16,16/8,>32,>4,>16,8/4,8,<=2,<=1,<=1,<=8,>16,1/19,>16,,,,,,,,,,,,
573.13927,EKP,<=2,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9.5,>16,,,,,,,,,,,,
573.13371,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13734,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13775,EKP,<=2,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,8,<=0.5/9,>16,,,,,,,,,,,,
573.13816,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13815,EKP,8,>64,<=4,>16,>2,>16,16,>16/8,>32,<=1,16,32/4,>8,<=2,<=1,<=1,<=8,8,>2/38,>16,,,,,,,,,,,,
573.1404,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,,>64/4,>8,<=2,8,>8,16,4,>2/38,>16,,,,,,,,,,,,
573.12962,EKP,1,<=16,>16,<=4,<=0.5,>32,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.13748,EKP,<=2,64,<=4,>16,<=0.5,>16,4,>16/8,>32,<=1,>16,4/4,<=2,<=2,<=1,<=1,<=8,>16,1/19,>16,,,,,,,,,,,,
573.13494,EKP,>8,,<=4,>16,>2,>16,>16,16/8,>32,>4,>16,4/4,4,4,<=1,<=1,32,16,<=0.5/9,>16,,,,,,,,,,,,
573.14493,EKP,<=2,,<=4,8,<=0.5,>16,4,>16/8,<=2,<=1,<=2,>64/4,<=2,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13626,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,4,>8,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.1452,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13435,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,32,,>2/38,>16,,,,,,,,,,,,
573.14488,EKP,<=2,64,<=4,>16,>2,>16,>16,>16/8,>32,>4,,8/4,4,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13148,EKP,<=2,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,4,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14132,EKP,8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13046,EKP,<=2,,8,>16,<=0.5,>16,8,>16/8,>32,<=1,16,>64/4,<=2,<=2,>8,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.14388,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.14504,EKP,8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,<=1,2/38,>16,,,,,,,,,,,,
573.14061,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13384,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.12999,EKP,>8,64,<=4,,>2,>32,>16,>16/8,>32,<=1,16,16/4,>8,>8,<=0.25,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.14495,EKP,<=2,<=16,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13441,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,4,<=8,,>2/38,>16,,,,,,,,,,,,
573.14447,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.13951,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,8,32,16,>2/38,>16,,,,,,,,,,,,
573.13261,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.13977,EKP,>8,>64,8,>16,>2,>16,>16,16/8,>32,>4,>16,8/4,<=2,4,<=1,<=1,32,4,<=0.5/9,>16,,,,,,,,,,,,
573.14063,EKP,>8,64,<=4,>16,>2,>16,8,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14359,EKP,8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,8/4,8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13183,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,2,4,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14519,EKP,8,64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,<=1,<=1,<=8,16,<=0.5/9,>16,,,,,,,,,,,,
573.13442,EKP,<=2,64,<=4,>16,2,>16,>16,>16/8,>32,<=1,>16,8/4,<=2,<=2,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13459,EKP,>8,64,<=4,>16,>2,>16,>16,>16/8,>32,<=1,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14486,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.14031,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,2,32,>16,>2/38,>16,,,,,,,,,,,,
573.13666,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14466,EKP,>8,>64,8,>16,>2,>16,>16,16/8,32,>4,>16,32/4,4,4,<=1,<=1,>32,4,>2/38,>16,,,,,,,,,,,,
573.13866,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,2,4,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13689,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,8,<=2,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13331,EKP,>8,64,<=4,>16,>2,>16,>16,>16/8,>32,<=1,16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13418,EKP,>8,>64,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.1385,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,4,4,32,16,>2/38,>16,,,,,,,,,,,,
573.13228,EKP,>8,>64,16,>16,>2,>16,>16,16/8,32,>4,>16,8/4,4,4,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.12926,EKP,1,64,<=4,<=4,<=0.5,<=1,<=0.5,8/4,<=0.5,<=1,<=1,4/4,2,1,0.5,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.13678,EKP,>8,,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14089,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14146,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,<=1,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13437,EKP,8,>64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13321,EKP,4,64,8,16,>2,>16,16,>16/8,<=2,4,>16,8/4,>8,4,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14181,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.14472,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13751,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,<=2,4,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14489,EKP,<=2,64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,16/4,4,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.14392,EKP,<=2,64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,4/4,<=2,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1368,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,8,8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13877,EKP,>8,,8,>16,>2,>16,>16,16/8,16,>4,>16,32/4,4,<=2,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.13906,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14316,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13438,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14123,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13455,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.14075,EKP,8,>64,<=4,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,<=1,<=1,<=8,16,<=0.5/9,>16,,,,,,,,,,,,
573.13343,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,32,>4,>16,64/4,>8,4,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.13729,EKP,<=2,,8,>16,>2,>16,>16,16/8,>32,>4,16,4/4,8,<=2,<=1,<=1,<=8,>16,1/19,>16,,,,,,,,,,,,
573.14328,EKP,<=2,,>16,>16,<=0.5,4,1,16/8,<=2,<=1,<=2,16/4,>8,<=2,<=1,<=1,<=8,<=1,1/19,>16,,,,,,,,,,,,
573.13052,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.14319,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.1421,EKP,<=2,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13156,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,8,32,16,>2/38,>16,,,,,,,,,,,,
573.13543,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,4,32,>16,>2/38,>16,,,,,,,,,,,,
573.12876,EKP,>8,>64,8,,>2,>32,>16,>16/8,>32,>4,>16,>64/4,>8,1,0.5,<=0.125,<=4,>16,>2/38,>16,,,,,,,,,,,,
573.13027,EKP,1,>64,<=4,<=4,<=0.5,2,<=0.5,16/8,<=0.5,<=1,<=1,<=2/4,>8,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.14339,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,>8,>8,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14039,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13203,EKP,8,,8,>16,2,>16,>16,16/8,32,2,>16,8/4,<=2,>8,<=1,<=1,<=8,4,<=0.5/9,>16,,,,,,,,,,,,
573.13961,EKP,4,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,<=8,,>2/38,>16,,,,,,,,,,,,
573.13546,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,4,<=1,<=1,32,16,>2/38,>16,,,,,,,,,,,,
573.14525,EKP,8,64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,4,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14416,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13943,EKP,<=2,64,16,>16,>2,>16,>16,>16/8,32,4,>16,>64/4,8,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13672,EKP,>8,,<=4,>16,<=0.5,>16,>16,>16/8,>32,<=1,>16,>64/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13458,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,8,64/4,4,>8,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.14041,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13333,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13566,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,8,>8,>8,<=8,16,<=0.5/9,>16,,,,,,,,,,,,
573.13559,EKP,>8,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,32,>16,>2/38,>16,,,,,,,,,,,,
573.13204,EKP,>8,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13808,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,8,8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13377,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.14415,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13533,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14378,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,>32,<=1,>2/38,>16,,,,,,,,,,,,
573.14236,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,16,>64/4,4,>8,>8,>8,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13385,EKP,>8,,<=4,>16,>2,>16,8,>16/8,>32,<=1,>16,16/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13984,EKP,>8,>64,<=4,>16,>2,>16,16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13134,EKP,4,>64,<=4,>16,1,>16,1,>16/8,>32,<=1,<=2,<=2/4,>8,>8,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13259,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,<=2,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14163,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,4,>64/4,4,8,>8,>8,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13284,EKP,8,,<=4,>16,>2,>16,4,>16/8,>32,>4,16,8/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13595,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,16,>16,>2/38,>16,,,,,,,,,,,,
573.14389,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13907,EKP,8,>64,,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14361,EKP,<=2,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.14505,EKP,>8,32,<=4,>16,>2,>16,16,>16/8,>32,<=1,16,16/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13801,EKP,8,,16,>16,1,>16,16,16/8,>32,<=1,,4/4,>8,>8,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.13653,EKP,>8,>64,8,>16,>2,>16,>16,16/8,16,>4,>16,32/4,4,4,<=1,<=1,>32,2,>2/38,>16,,,,,,,,,,,,
573.13541,EKP,>8,>64,16,>16,>2,>16,>16,16/8,16,>4,>16,4/4,4,<=2,<=1,<=1,32,4,>2/38,>16,,,,,,,,,,,,
573.14404,EKP,8,32,8,>16,>2,>16,>16,>16/8,>32,>4,4,>64/4,4,>8,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.12885,EKP,1,,<=4,<=4,<=0.5,2,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,0.5,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.12938,EKP,>8,64,<=4,,>2,>32,16,>16/8,>32,<=1,>16,32/4,>8,>8,<=0.25,<=0.125,<=4,16,>2/38,>16,,,,,,,,,,,,
573.13112,EKP,>8,>64,>16,>16,>2,>16,>16,16/8,16,>4,>16,>64/4,>8,<=2,<=1,<=1,<=8,4,>2/38,>16,,,,,,,,,,,,
573.13919,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14108,EKP,<=2,>64,<=4,>16,<=0.5,>16,16,>16/8,>32,<=1,16,4/4,<=2,<=2,<=1,<=1,<=8,16,>2/38,>16,,,,,,,,,,,,
573.14306,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,>8,>8,>32,>16,>2/38,>16,,,,,,,,,,,,
573.13456,EKP,<=2,,<=4,<=4,<=0.5,>16,8,>16/8,<=2,<=1,<=2,>64/4,>8,<=2,<=1,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
573.13929,EKP,8,,<=4,>16,>2,>16,>16,>16/8,>32,<=1,>16,32/4,>8,<=2,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.1394,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,<=2,>8,>8,32,,<=0.5/9.5,>16,,,,,,,,,,,,
573.14174,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,<=2,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.14007,EKP,<=2,64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,64/4,>8,<=2,<=1,<=1,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13869,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13615,EKP,8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,32/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13466,EKP,>8,,>16,>16,>2,>16,1,>16/8,<=2,>4,<=2,>64/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14255,EKP,>8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,8,32,>16,>2/38,>16,,,,,,,,,,,,
573.13104,EKP,<=2,>64,<=4,>16,1,>16,>16,16/8,16,<=1,>16,4/4,<=2,<=2,<=1,<=1,<=8,2,<=0.5/9,>16,,,,,,,,,,,,
573.13358,EKP,<=2,,>16,>16,<=0.5,>16,>16,>16/8,>32,<=1,>16,>64/4,<=2,<=2,8,>8,<=8,>16,<=0.5/9,>16,,,,,,,,,,,,
573.13938,EKP,<=2,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13038,EKP,>8,32,<=4,>16,2,>16,16,>16/8,>32,<=1,>16,8/4,>8,>8,<=1,<=1,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.13324,EKP,<=2,,8,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,<=2,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13986,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,2,32,>16,>2/38,>16,,,,,,,,,,,,
573.14455,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,8,>8,>8,>8,<=8,>16,>2/38,>16,,,,,,,,,,,,
573.14069,EKP,8,,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,>8,>8,<=1,<=1,<=8,<=1,>2/38,>16,,,,,,,,,,,,
573.13221,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,4,>8,>8,32,>16,>2/38,>16,,,,,,,,,,,,
573.14182,EKP,>8,,16,>16,>2,>16,>16,>16/8,>32,>4,>16,>64/4,4,>8,<=1,<=1,32,16,>2/38,>16,,,,,,,,,,,,
573.12863,EKP,1,,<=4,<=4,<=0.5,<=1,<=0.5,8/4,<=0.5,<=1,<=1,4/4,<=1,1,<=0.25,<=0.125,<=4,<=0.5,<=0.5/9.5,>16,,,,,,,,,,,,
573.13043,EKP,>8,>64,>16,>16,>2,>16,>16,>16/8,>32,<=1,4,>64/4,>8,>8,<=1,<=1,<=8,,>2/38,>16,,,,,,,,,,,,
573.13489,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,>4,>16,4/4,<=2,<=2,<=1,<=1,<=8,,<=0.5/9,>16,,,,,,,,,,,,
573.13323,EKP,<=2,>64,8,>16,>2,>16,>16,>16/8,>32,4,>16,>64/4,<=2,<=2,2,<=1,<=8,<=1,<=0.5/9,>16,,,,,,,,,,,,
