feature,category,PHOENIX_count,PHOENIX_freq,VITEK_count,VITEK_freq,specificity
meropenem,>=16,0,0.0,199,0.23467,0.23467
levofloxacin,>=8,0,0.0,195,0.22995,0.22995
meropenem,>8,343,0.21778,0,0.0,0.21778
trimethoprim/sulfamethoxazole,>=320,0,0.0,181,0.21344,0.21344
ciprofloxacin,<=25,0,0.0,178,0.20991,0.20991
aztreonam,MISSING,23,0.0146,190,0.22406,0.20945
cefoxitin,>=64,0,0.0,175,0.20637,0.20637
cefazolin,<=4,0,0.0,174,0.20519,0.20519
cefepime,<=12,0,0.0,172,0.20283,0.20283
imipenem,>8,315,0.2,0,0.0,0.2
piperacillin/tazobactam,>=128/4,0,0.0,169,0.19929,0.19929
amikacin,>=64,0,0.0,168,0.19811,0.19811
ceftriaxone,<=25,0,0.0,167,0.19693,0.19693
cefotaxime,<=25,0,0.0,167,0.19693,0.19693
moxifloxacin,>=8,0,0.0,167,0.19693,0.19693
trimethoprim/sulfamethoxazole,<=1/19,0,0.0,166,0.19575,0.19575
levofloxacin,<=1,306,0.19429,0,0.0,0.19429
cefpodoxime,<=25,0,0.0,162,0.19104,0.19104
levofloxacin,<=12,0,0.0,159,0.1875,0.1875
cefuroxime,MISSING,79,0.05016,200,0.23585,0.18569
imipenem,>=16,0,0.0,157,0.18514,0.18514
tobramycin,MISSING,0,0.0,156,0.18396,0.18396
piperacillin/tazobactam,<=4/4,0,0.0,156,0.18396,0.18396
tobramycin,8,341,0.21651,28,0.03302,0.18349
piperacillin/tazobactam,MISSING,0,0.0,155,0.18278,0.18278
moxifloxacin,<=25,0,0.0,155,0.18278,0.18278
levofloxacin,=1,0,0.0,151,0.17807,0.17807
aztreonam,<=1,66,0.0419,185,0.21816,0.17626
amoxicillin/clavulanic acid,>=32,0,0.0,130,0.1533,0.1533
tigecycline,=1,0,0.0,128,0.15094,0.15094
cefepime,<=1,287,0.18222,30,0.03538,0.14684
ceftolozane/tazobactam,>=32/4,0,0.0,120,0.14151,0.14151
nitrofurantoin,=64,0,0.0,120,0.14151,0.14151
nitrofurantoin,MISSING,728,0.46222,273,0.32193,0.14029
amikacin,32,225,0.14286,4,0.00472,0.13814
nalidixic acid,=4,0,0.0,116,0.13679,0.13679
tetracycline,<=1,42,0.02667,136,0.16038,0.13371
cefoxitin,8,232,0.1473,13,0.01533,0.13197
ceftazidime,MISSING,0,0.0,111,0.1309,0.1309
ertapenem,<=0.5,0,0.0,111,0.1309,0.1309
trimethoprim/sulfamethoxazole,<=0.5/9,203,0.12889,0,0.0,0.12889
cefepime,MISSING,89,0.05651,156,0.18396,0.12745
moxifloxacin,=2,0,0.0,108,0.12736,0.12736
tigecycline,2,0,0.0,108,0.12736,0.12736
ceftazidime,=16,0,0.0,102,0.12028,0.12028
cefoxitin,MISSING,19,0.01206,112,0.13208,0.12001
cephalothin,<=2,0,0.0,97,0.11439,0.11439
trimethoprim/sulfamethoxazole,MISSING,0,0.0,97,0.11439,0.11439
nalidixic acid,=16,0,0.0,96,0.11321,0.11321
tetracycline,<=2,176,0.11175,0,0.0,0.11175
cefuroxime,=2,0,0.0,87,0.10259,0.10259
ampicillin/sulbactam,=8/4,0,0.0,86,0.10142,0.10142
cefepime,16,166,0.1054,4,0.00472,0.10068
ceftazidime/avibactam,=5/4,0,0.0,85,0.10024,0.10024
nitrofurantoin,=256,0,0.0,84,0.09906,0.09906
piperacillin/tazobactam,16/4,155,0.09841,0,0.0,0.09841
trimethoprim,MISSING,1575,1.0,769,0.90684,0.09316
ciprofloxacin,<=0.5,145,0.09206,1,0.00118,0.09088
ertapenem,<=0.12,0,0.0,76,0.08962,0.08962
tetracycline,8,140,0.08889,0,0.0,0.08889
piperacillin/tazobactam,>=128,0,0.0,74,0.08726,0.08726
ciprofloxacin,=1,0,0.0,74,0.08726,0.08726
amikacin,<=4,133,0.08444,0,0.0,0.08444
cefalotin,MISSING,1575,1.0,779,0.91863,0.08137
cefalotin,>=64,0,0.0,68,0.08019,0.08019
tobramycin,=8,0,0.0,68,0.08019,0.08019
piperacillin/tazobactam,=16/4,0,0.0,68,0.08019,0.08019
meropenem,<=0.125,125,0.07937,0,0.0,0.07937
ceftazidime/avibactam,=25/4,0,0.0,66,0.07783,0.07783
cefotetan,>=64,0,0.0,66,0.07783,0.07783
ciprofloxacin,<=0.25,0,0.0,65,0.07665,0.07665
piperacillin/tazobactam,4/4,118,0.07492,0,0.0,0.07492
nitrofurantoin,>=512,0,0.0,63,0.07429,0.07429
ciprofloxacin,=2,0,0.0,63,0.07429,0.07429
aztreonam,=16,0,0.0,62,0.07311,0.07311
tigecycline,>=8,0,0.0,62,0.07311,0.07311
ampicillin,MISSING,0,0.0,62,0.07311,0.07311
ampicillin/sulbactam,16/8,114,0.07238,0,0.0,0.07238
cefepime,4,115,0.07302,1,0.00118,0.07184
piperacillin/tazobactam,8/4,109,0.06921,0,0.0,0.06921
cefoxitin,16,142,0.09016,22,0.02594,0.06422
piperacillin/tazobactam,32/4,99,0.06286,0,0.0,0.06286
trimethoprim,>=16,0,0.0,53,0.0625,0.0625
piperacillin/tazobactam,=32/4,0,0.0,53,0.0625,0.0625
imipenem,8,104,0.06603,3,0.00354,0.06249
amikacin,>32,100,0.06349,1,0.00118,0.06231
aztreonam,<=2,97,0.06159,0,0.0,0.06159
trimethoprim/sulfamethoxazole,<=20,0,0.0,50,0.05896,0.05896
trimethoprim/sulfamethoxazole,<=0.5/9.5,91,0.05778,0,0.0,0.05778
tigecycline,1,0,0.0,47,0.05542,0.05542
amikacin,16,102,0.06476,8,0.00943,0.05533
nitrofurantoin,64,112,0.07111,14,0.01651,0.0546
ceftazidime/avibactam,>=16/4,0,0.0,46,0.05425,0.05425
amikacin,=16,0,0.0,43,0.05071,0.05071
cefuroxime,<=1,0,0.0,43,0.05071,0.05071
cefazolin,>32,79,0.05016,0,0.0,0.05016
gentamicin,1,79,0.05016,0,0.0,0.05016
tobramycin,1,77,0.04889,0,0.0,0.04889
gentamicin,4,166,0.1054,48,0.0566,0.04879
imipenem,<=0.25,95,0.06032,10,0.01179,0.04853
cefepime,>=64,0,0.0,41,0.04835,0.04835
piperacillin/tazobactam,64/4,74,0.04698,0,0.0,0.04698
nalidixic acid,<=2,0,0.0,39,0.04599,0.04599
ceftazidime,<=0.5,72,0.04571,0,0.0,0.04571
ceftolozane/tazobactam,=16/4,0,0.0,38,0.04481,0.04481
ceftolozane/tazobactam,=1/4,0,0.0,38,0.04481,0.04481
cefepime,=2,0,0.0,38,0.04481,0.04481
tetracycline,=2,0,0.0,38,0.04481,0.04481
cefepime,<=0.5,69,0.04381,0,0.0,0.04381
ceftriaxone,=32,0,0.0,37,0.04363,0.04363
cephalothin,<=1,0,0.0,37,0.04363,0.04363
imipenem,=5,0,0.0,37,0.04363,0.04363
piperacillin/tazobactam,16,0,0.0,37,0.04363,0.04363
cefotaxime,<=1,0,0.0,36,0.04245,0.04245
levofloxacin,=4,0,0.0,36,0.04245,0.04245
ceftriaxone,<=0.5,66,0.0419,0,0.0,0.0419
cefuroxime,<=4,66,0.0419,0,0.0,0.0419
ampicillin/sulbactam,8/4,66,0.0419,0,0.0,0.0419
ceftazidime/avibactam,=1/4,0,0.0,35,0.04127,0.04127
cefepime,8,66,0.0419,2,0.00236,0.03955
imipenem,=1,0,0.0,33,0.03892,0.03892
ceftazidime,32,0,0.0,33,0.03892,0.03892
piperacillin/tazobactam,=64/4,0,0.0,33,0.03892,0.03892
cephalothin,=4,0,0.0,32,0.03774,0.03774
piperacillin/tazobactam,=8/4,0,0.0,32,0.03774,0.03774
levofloxacin,<=0.12,0,0.0,31,0.03656,0.03656
tetracycline,=4,0,0.0,31,0.03656,0.03656
cefoxitin,=16,0,0.0,31,0.03656,0.03656
ceftriaxone,<=2,54,0.03429,0,0.0,0.03429
moxifloxacin,=4,0,0.0,29,0.0342,0.0342
cefotaxime,=32,0,0.0,29,0.0342,0.0342
tetracycline,=8,0,0.0,28,0.03302,0.03302
trimethoprim/sulfamethoxazole,1/19,52,0.03302,0,0.0,0.03302
ceftazidime,=4,0,0.0,28,0.03302,0.03302
fosfomycin,MISSING,1575,1.0,820,0.96698,0.03302
ertapenem,0.25,0,0.0,28,0.03302,0.03302
meropenem,4,62,0.03937,6,0.00708,0.03229
ceftriaxone,32,50,0.03175,0,0.0,0.03175
ceftazidime,16,97,0.06159,26,0.03066,0.03093
amoxicillin/clavulanic acid,16,0,0.0,26,0.03066,0.03066
ampicillin/sulbactam,>=32,0,0.0,25,0.02948,0.02948
ampicillin/sulbactam,=4/2,0,0.0,24,0.0283,0.0283
piperacillin/tazobactam,<=4,0,0.0,24,0.0283,0.0283
tigecycline,=2,0,0.0,24,0.0283,0.0283
chloramphenicol,MISSING,1575,1.0,824,0.9717,0.0283
trimethoprim/sulfamethoxazole,2/38,43,0.0273,0,0.0,0.0273
cephalothin,=8,0,0.0,23,0.02712,0.02712
cefuroxime,=4,0,0.0,23,0.02712,0.02712
meropenem,2,44,0.02794,1,0.00118,0.02676
amikacin,4,0,0.0,21,0.02476,0.02476
piperacillin/tazobactam,32,0,0.0,21,0.02476,0.02476
trimethoprim/sulfamethoxazole,=2/38,0,0.0,21,0.02476,0.02476
ampicillin/sulbactam,<=2/1,0,0.0,20,0.02358,0.02358
imipenem,=2,0,0.0,20,0.02358,0.02358
tigecycline,4,0,0.0,20,0.02358,0.02358
meropenem,8,48,0.03048,6,0.00708,0.0234
ceftazidime,8,42,0.02667,3,0.00354,0.02313
amoxicillin/clavulanic acid,>=32/16,0,0.0,19,0.02241,0.02241
amoxicillin/clavulanic acid,=16/8,0,0.0,19,0.02241,0.02241
aztreonam,=2,0,0.0,19,0.02241,0.02241
ceftolozane/tazobactam,=8/4,0,0.0,19,0.02241,0.02241
nitrofurantoin,<=16,17,0.01079,28,0.03302,0.02223
tigecycline,<=0.5,0,0.0,18,0.02123,0.02123
cefuroxime,=16,0,0.0,18,0.02123,0.02123
nalidixic acid,=8,0,0.0,18,0.02123,0.02123
cefazolin,<=1,35,0.02222,1,0.00118,0.02104
aztreonam,4,35,0.02222,1,0.00118,0.02104
nitrofurantoin,256,0,0.0,17,0.02005,0.02005
meropenem,=1,0,0.0,17,0.02005,0.02005
imipenem,0.5,31,0.01968,0,0.0,0.01968
cefepime,=8,0,0.0,16,0.01887,0.01887
nitrofurantoin,=32,0,0.0,16,0.01887,0.01887
amoxicillin/clavulanic acid,8,0,0.0,16,0.01887,0.01887
gentamicin,=8,0,0.0,16,0.01887,0.01887
nitrofurantoin,32,36,0.02286,4,0.00472,0.01814
amikacin,8,3,0.0019,17,0.02005,0.01814
ceftriaxone,16,28,0.01778,0,0.0,0.01778
cefazolin,=16,0,0.0,15,0.01769,0.01769
tigecycline,=4,0,0.0,15,0.01769,0.01769
fosfomycin,<=16,0,0.0,15,0.01769,0.01769
cefazolin,>=8,0,0.0,15,0.01769,0.01769
amikacin,=4,0,0.0,15,0.01769,0.01769
ceftriaxone,=1,0,0.0,15,0.01769,0.01769
imipenem,4,31,0.01968,2,0.00236,0.01732
ceftazidime,1,27,0.01714,0,0.0,0.01714
ampicillin/sulbactam,=16/8,0,0.0,14,0.01651,0.01651
tigecycline,<=2,0,0.0,14,0.01651,0.01651
piperacillin/tazobactam,8,0,0.0,14,0.01651,0.01651
cefotaxime,=16,0,0.0,14,0.01651,0.01651
ertapenem,<=0.25,0,0.0,14,0.01651,0.01651
chloramphenicol,=4,0,0.0,14,0.01651,0.01651
ciprofloxacin,=5,0,0.0,14,0.01651,0.01651
cefotetan,=32,0,0.0,14,0.01651,0.01651
ceftolozane/tazobactam,=5/4,0,0.0,14,0.01651,0.01651
colistin,MISSING,1575,1.0,834,0.98349,0.01651
tetracycline,2,26,0.01651,0,0.0,0.01651
aztreonam,=4,0,0.0,14,0.01651,0.01651
levofloxacin,4,29,0.01841,2,0.00236,0.01605
trimethoprim,<=0.5,0,0.0,13,0.01533,0.01533
cefoxitin,=32,0,0.0,13,0.01533,0.01533
amikacin,=8,0,0.0,13,0.01533,0.01533
ciprofloxacin,0.5,0,0.0,13,0.01533,0.01533
colistin,<=0.5,0,0.0,13,0.01533,0.01533
meropenem,=8,0,0.0,13,0.01533,0.01533
ceftazidime,=8,0,0.0,12,0.01415,0.01415
piperacillin/tazobactam,<=2/4,21,0.01333,0,0.0,0.01333
ciprofloxacin,1,39,0.02476,32,0.03774,0.01297
ampicillin,<=2,0,0.0,11,0.01297,0.01297
cefazolin,2,20,0.0127,0,0.0,0.0127
gentamicin,8,55,0.03492,19,0.02241,0.01251
netilmicin,MISSING,1575,1.0,838,0.98821,0.01179
netilmicin,=1,0,0.0,10,0.01179,0.01179
amoxicillin/clavulanic acid,=1/1,0,0.0,10,0.01179,0.01179
nitrofurantoin,=1,0,0.0,10,0.01179,0.01179
ampicillin,=1,0,0.0,10,0.01179,0.01179
gentamicin,=1,0,0.0,10,0.01179,0.01179
sulfamethoxazole,MISSING,1575,1.0,838,0.98821,0.01179
cefotaxime,8,0,0.0,10,0.01179,0.01179
cefotaxime,16,0,0.0,10,0.01179,0.01179
aztreonam,=1,0,0.0,10,0.01179,0.01179
aztreonam,=32,0,0.0,10,0.01179,0.01179
sulfamethoxazole,=1,0,0.0,10,0.01179,0.01179
chloramphenicol,=1,0,0.0,10,0.01179,0.01179
trimethoprim,=1,0,0.0,10,0.01179,0.01179
cefpodoxime,=2,0,0.0,10,0.01179,0.01179
fosfomycin,=1,0,0.0,10,0.01179,0.01179
tobramycin,=4,0,0.0,10,0.01179,0.01179
amikacin,=1,0,0.0,10,0.01179,0.01179
levofloxacin,2,17,0.01079,0,0.0,0.01079
piperacillin/tazobactam,64,0,0.0,9,0.01061,0.01061
cefepime,=1,0,0.0,9,0.01061,0.01061
meropenem,=4,0,0.0,9,0.01061,0.01061
ertapenem,=1,0,0.0,9,0.01061,0.01061
ertapenem,>=1,0,0.0,9,0.01061,0.01061
cefoxitin,32,0,0.0,9,0.01061,0.01061
ceftazidime,=32,0,0.0,9,0.01061,0.01061
aztreonam,16,89,0.05651,39,0.04599,0.01052
cefazolin,<=2,1,0.00063,9,0.01061,0.00998
imipenem,2,25,0.01587,5,0.0059,0.00998
ciprofloxacin,2,39,0.02476,29,0.0342,0.00944
meropenem,=2,0,0.0,8,0.00943,0.00943
tobramycin,2,2,0.00127,9,0.01061,0.00934
ampicillin/sulbactam,4,0,0.0,7,0.00825,0.00825
cefuroxime,4,0,0.0,7,0.00825,0.00825
cefotaxime,4,0,0.0,7,0.00825,0.00825
gentamicin,=4,0,0.0,7,0.00825,0.00825
ampicillin/sulbactam,8,0,0.0,7,0.00825,0.00825
cefoxitin,=8,0,0.0,7,0.00825,0.00825
nitrofurantoin,128,0,0.0,7,0.00825,0.00825
cefepime,=4,0,0.0,7,0.00825,0.00825
tobramycin,4,23,0.0146,6,0.00708,0.00753
amikacin,=32,0,0.0,6,0.00708,0.00708
tobramycin,=2,0,0.0,6,0.00708,0.00708
gentamicin,<=0.5,11,0.00698,0,0.0,0.00698
cefazolin,16,11,0.00698,0,0.0,0.00698
cefuroxime,8,12,0.00762,1,0.00118,0.00644
ceftazidime,2,10,0.00635,0,0.0,0.00635
ceftazidime/avibactam,=8/4,0,0.0,5,0.0059,0.0059
cephalothin,16,0,0.0,5,0.0059,0.0059
moxifloxacin,=1,0,0.0,5,0.0059,0.0059
ceftazidime/avibactam,=4/4,0,0.0,5,0.0059,0.0059
amoxicillin/clavulanic acid,4,0,0.0,5,0.0059,0.0059
imipenem,=8,0,0.0,5,0.0059,0.0059
ampicillin/sulbactam,<=2,0,0.0,5,0.0059,0.0059
cefotaxime,=5,0,0.0,5,0.0059,0.0059
cephalothin,=16,0,0.0,5,0.0059,0.0059
cephalothin,=32,0,0.0,5,0.0059,0.0059
cefotetan,=8,0,0.0,5,0.0059,0.0059
cefuroxime,=32,0,0.0,5,0.0059,0.0059
ampicillin,=16,0,0.0,5,0.0059,0.0059
trimethoprim/sulfamethoxazole,=8/152,0,0.0,5,0.0059,0.0059
ciprofloxacin,=0.5,0,0.0,5,0.0059,0.0059
ampicillin,=8,0,0.0,5,0.0059,0.0059
ceftriaxone,=16,0,0.0,5,0.0059,0.0059
aztreonam,32,0,0.0,5,0.0059,0.0059
ceftolozane/tazobactam,=4/4,0,0.0,5,0.0059,0.0059
ceftriaxone,4,9,0.00571,0,0.0,0.00571
ampicillin/sulbactam,4/2,9,0.00571,0,0.0,0.00571
cefuroxime,16,14,0.00889,3,0.00354,0.00535
ceftazidime,4,12,0.00762,2,0.00236,0.00526
cefazolin,4,10,0.00635,1,0.00118,0.00517
moxifloxacin,=5,0,0.0,4,0.00472,0.00472
cephalothin,8,0,0.0,4,0.00472,0.00472
gentamicin,=2,0,0.0,4,0.00472,0.00472
ceftriaxone,=8,0,0.0,4,0.00472,0.00472
ampicillin,16,24,0.01524,9,0.01061,0.00462
aztreonam,8,20,0.0127,7,0.00825,0.00444
cefazolin,8,7,0.00444,0,0.0,0.00444
amoxicillin/clavulanic acid,=4/2,0,0.0,3,0.00354,0.00354
cefepime,2,26,0.01651,11,0.01297,0.00354
cefotaxime,2,0,0.0,3,0.00354,0.00354
trimethoprim/sulfamethoxazole,=4/76,0,0.0,3,0.00354,0.00354
cephalothin,2,0,0.0,3,0.00354,0.00354
aztreonam,2,0,0.0,3,0.00354,0.00354
trimethoprim/sulfamethoxazole,40,0,0.0,3,0.00354,0.00354
ertapenem,=4,0,0.0,3,0.00354,0.00354
gentamicin,2,4,0.00254,5,0.0059,0.00336
cefepime,1,7,0.00444,1,0.00118,0.00327
ceftriaxone,8,5,0.00317,0,0.0,0.00317
amoxicillin/clavulanic acid,<=2,0,0.0,2,0.00236,0.00236
fosfomycin,=64,0,0.0,2,0.00236,0.00236
gentamicin,<=16,0,0.0,2,0.00236,0.00236
trimethoprim/sulfamethoxazole,80,0,0.0,2,0.00236,0.00236
amoxicillin/clavulanic acid,=8/4,0,0.0,2,0.00236,0.00236
ceftazidime,=0.5,0,0.0,2,0.00236,0.00236
levofloxacin,1,0,0.0,2,0.00236,0.00236
ertapenem,4,0,0.0,2,0.00236,0.00236
trimethoprim,2,0,0.0,2,0.00236,0.00236
ertapenem,1,0,0.0,2,0.00236,0.00236
meropenem,>=4,0,0.0,2,0.00236,0.00236
tobramycin,<=0.5,3,0.0019,0,0.0,0.0019
ceftriaxone,2,2,0.00127,0,0.0,0.00127
levofloxacin,<0.12,0,0.0,1,0.00118,0.00118
ertapenem,<0.25,0,0.0,1,0.00118,0.00118
meropenem,>=32,0,0.0,1,0.00118,0.00118
meropenem,=0.5,0,0.0,1,0.00118,0.00118
meropenem,<0.25,0,0.0,1,0.00118,0.00118
ampicillin/sulbactam,16,0,0.0,1,0.00118,0.00118
ertapenem,2,0,0.0,1,0.00118,0.00118
cefoxitin,=4,0,0.0,1,0.00118,0.00118
trimethoprim/sulfamethoxazole,>=30,0,0.0,1,0.00118,0.00118
ceftriaxone,<=1,0,0.0,1,0.00118,0.00118
cefotaxime,<=0.25,0,0.0,1,0.00118,0.00118
trimethoprim/sulfamethoxazole,>1/19,0,0.0,1,0.00118,0.00118
trimethoprim/sulfamethoxazole,<=16/304,0,0.0,1,0.00118,0.00118
piperacillin/tazobactam,>=16/4,0,0.0,1,0.00118,0.00118
piperacillin/tazobactam,=64/8,0,0.0,1,0.00118,0.00118
colistin,=1,0,0.0,1,0.00118,0.00118
fosfomycin,>=256,0,0.0,1,0.00118,0.00118
ertapenem,>=0.5,0,0.0,1,0.00118,0.00118
ertapenem,>=2,0,0.0,1,0.00118,0.00118
levofloxacin,0.25,0,0.0,1,0.00118,0.00118
ertapenem,<=19,0,0.0,1,0.00118,0.00118
ertapenem,<=1,0,0.0,1,0.00118,0.00118
ertapenem,>4,0,0.0,1,0.00118,0.00118
cefalotin,4,0,0.0,1,0.00118,0.00118
meropenem,>=0.25,0,0.0,1,0.00118,0.00118
meropenem,32,0,0.0,1,0.00118,0.00118
nitrofurantoin,>=320,0,0.0,1,0.00118,0.00118
nitrofurantoin,>512,0,0.0,1,0.00118,0.00118
amoxicillin/clavulanic acid,>=16/8,0,0.0,1,0.00118,0.00118
gentamicin,<=4,0,0.0,1,0.00118,0.00118
ampicillin,8,0,0.0,1,0.00118,0.00118
ceftazidime,0.5,0,0.0,1,0.00118,0.00118
ampicillin,=32,0,0.0,1,0.00118,0.00118
ceftazidime,>=4,0,0.0,1,0.00118,0.00118
ampicillin,>=30,0,0.0,1,0.00118,0.00118
ceftriaxone,=64,0,0.0,1,0.00118,0.00118
cefotaxime,32,0,0.0,1,0.00118,0.00118
imipenem,=4,0,0.0,1,0.00118,0.00118
cefepime,<=0.12,0,0.0,1,0.00118,0.00118
cefepime,=16,0,0.0,1,0.00118,0.00118
tigecycline,>=2,0,0.0,1,0.00118,0.00118
cefepime,<=2,0,0.0,1,0.00118,0.00118
trimethoprim,4,0,0.0,1,0.00118,0.00118
amoxicillin/clavulanic acid,<=2/1,0,0.0,1,0.00118,0.00118
tigecycline,8,0,0.0,1,0.00118,0.00118
cefuroxime,32,0,0.0,1,0.00118,0.00118
ciprofloxacin,<=1,0,0.0,1,0.00118,0.00118
imipenem,1,2,0.00127,2,0.00236,0.00109
meropenem,1,1,0.00063,0,0.0,0.00063
meropenem,0.023,1,0.00063,0,0.0,0.00063
meropenem,6,1,0.00063,0,0.0,0.00063
meropenem,0.38,1,0.00063,0,0.0,0.00063
meropenem,0.25,1,0.00063,0,0.0,0.00063
meropenem,0.094,1,0.00063,0,0.0,0.00063
meropenem,0.125,1,0.00063,0,0.0,0.00063
meropenem,0.032,1,0.00063,0,0.0,0.00063
cefazolin,32,1,0.00063,0,0.0,0.00063
imipenem,6,1,0.00063,0,0.0,0.00063
beta-lactam,MISSING,1575,1.0,848,1.0,0.0
ticarcillin/clavulanic acid,MISSING,1575,1.0,848,1.0,0.0
trimethoprim/sulfobactam,MISSING,1575,1.0,848,1.0,0.0
norfloxacin,MISSING,1575,1.0,848,1.0,0.0
azithromycin,MISSING,1575,1.0,848,1.0,0.0
ticarcillin,MISSING,1575,1.0,848,1.0,0.0
cefpodoxime_clavulanic_acid,MISSING,1575,1.0,848,1.0,0.0
piperacillin,MISSING,1575,1.0,848,1.0,0.0
streptomycin,MISSING,1575,1.0,848,1.0,0.0
polymyxin B,MISSING,1575,1.0,848,1.0,0.0
cephalexin,MISSING,1575,1.0,848,1.0,0.0
